screen_name,followers_count,retweet_count,favorite_count,vader,threshold,text,Rel1,Sentiment1,Rel2,Sentiment2
PEspinosaC,108140,10,76,0.961,1,"My heartfelt congratulations to the new Director-General of @wto @NOIweala. 

Your experience and proven vision on climate change make me confident of our successful collaboration towards the full and effective implementation of the #ParisAgreement.",1,1,1,1
PEspinosaC,108140,44,137,0.944,1,"My key message during the briefing on expectations for #COP26:

We must demonstrate our determination to make COP26 a success. And we need to make progress virtually until we can meet in person.

@UNFCCC stands ready to support all Parties in their efforts to achieve this.",1,0,1,1
IEA,197182,5,12,0.955,1,"Natural gas prices in Asia have soared to record highs, underscoring the need for better functioning &amp; more resilient markets.

Our latest commentary explores how to improve markets' flexibility, which is vital as clean energy transitions progress <U+27A1><U+FE0F> https://t.co/cB0ZmRSnoV https://t.co/P6yxhernMq",1,1,1,0
WILDfoundation,10616,0,0,0.956,1,"Oceanographic Magazine's Photography Awards, showcase the beauty of ocean life- and hopefully will inspire others to join conservation efforts! Which photo submission is your favorite? 
#survivalrevolution #carbonneutralnaturepositive
https://t.co/GwJ4QUIHHl",1,1,1,1
exxonmobil,326103,5,41,0.965,1,"Our Black Employee Success Team gives all employees the opportunity to be their BEST through their recruiting, mentorship, leadership development, management engagement and community outreach. We celebrate their achievements this #BlackHistoryMonth and every day. https://t.co/QgFHEXkgX8",0,,0,
Mirrecogroup,226,1,1,0.935,1,"Our vision of large scale hemp-built communities is attracting global interest.

Credit to @modernghanaweb &amp; Kofi Thompson.

https://t.co/Aym41eHiUJ

#hemp #renewable #sustainability #embodiedcarbon #environment #technology #innovation #energy #passive #climatechange #housing https://t.co/DqpDx2z4Re",1,1,1,1
CarbonEngineer,6339,6,14,0.939,1,"Passionate about climate change solutions and interested in following Carbon Engineering's progress? Join our supporter list and you will receive a newsletter with company updates, media coverage, interesting reading suggestions and more. #DirectAirCapture https://t.co/b2G4lspZa3",1,0,1,0
ChiefExecCCC,19501,27,55,0.942,1,"Please have a look at our amazing new data tool, which allows you to explore the UK emission scenarios in huge depth. 

Link I tweeted to this yesterday is broken. A great reason to tweet about it all over again.

Enjoy. We had fun making it. 
@theCCCuk

https://t.co/OmMLAzo1ft",1,1,1,1
GermanEnvAgency,1470,1,3,0.949,1,"Protection from hazardous #chemicals must be strengthened â€“ through effective, inspiring &amp; innovative policies. 55 nominees are on the path to win the #FuturePolicyAward 2021 (supported by UBA). Learn more: https://t.co/ZX9IVweS6M",1,1,,
WILDfoundation,10616,0,0,0.934,1,"Read, ""The Story for Our Future"" below! World Wilderness Congress 11 was postponed, but we cannot afford to hold off on acting to save wilderness. Framed as a narrative story, learn where you fit and what role you can play to help enact these policies. https://t.co/Y1bvXW1Or4",1,1,,
PEspinosaC,108140,34,104,0.955,1,"Remarkable! With true Usain Bolt speed <U+0001F45F><U+0001F4A8>, Jamaica <U+0001F1EF><U+0001F1F2> accepted the Doha amendment to the Kyoto Protocol. Thank you @AndrewHolnessJM and @CcdJamaica! With 143 parties ratification, it is only one more to go to bring the amendment into force. #ClimateAction",1,1,1,1
OrstedUK,14921,13,19,0.962,1,"Renewable Energy is crucial in the fight against #ClimateChange A diverse range of future talent will be needed to build on the success story so far. We're giving unique access and insight to the #offshorewind industry to help inspire, support and develop emerging new talent... https://t.co/wKA434ycaZ",1,0,1,1
JoyceMsuya,21141,17,57,0.938,1,"Strong leadership for sustainable agriculture like yours is key for a green pandemic recovery &amp; #fornature. 

Congratulations and best wishes for your continued work for the #globalgoals &amp; the #AfricaWeWant. https://t.co/3E1jMLUnCo",1,1,1,1
earthwatch_org,14275,0,3,0.958,1,"Thank you for your support during this unprecedented crisis. Wishing you and yours a healthy and happy holiday season and brighter days ahead.

Gratefully, Your Friends at Earthwatch https://t.co/RAH8zLCPjU",0,,0,
CarbonEngineer,6339,0,10,0.949,1,"Thanks for sharing this story @andrew_leach. It's great to hear that our work can play a part in inspiring the world's next generation, and can help bring #DirectAirCapture to life for them. https://t.co/XBLuQtMdXT",1,1,1,1
UNEP_Europe,23082,6,28,0.961,1,"The #Carpathian mountains host a very rich diversity of fauna and flora, yet face numerous threats. We are honoured that the Transgreen project has won a Natura 2000 prize, &amp; proud to work with partners for the precious #mountains! https://t.co/9Ax49eyeAk https://t.co/3U1TDqFpVj",1,1,1,1
JoyceMsuya,21141,15,90,0.947,1,"The @UNEP Young Champions of the Earth prize breathes life into the ambitions of brilliant young environmentalists.

The 2020 #YoungChamps winners will be announced tomorrow - get to know the finalists and their inspiring work #ForNature: https://t.co/EZgo7iqArP https://t.co/1YXpo0s705",1,1,1,1
theCCCuk,48148,7,21,0.938,1,"The actions recommended by the CCC will also deliver better public health, improved biodiversity and access to nature, cleaner air, more comfortable homes and productive, rewarding employment. (14/15) https://t.co/mth9VoN7Lp",1,1,1,1
IEA,197182,10,20,0.957,1,"The clean energy technologies we will need tomorrow hinge on innovation today.

Quicker progress towards net-zero emissions will depend on rapid innovation in electrification, hydrogen, bioenergy and CCUS. 

Read more on clean energy innovation <U+0001F449> https://t.co/ceyBSIIAcw https://t.co/hPRV3Fmv32",1,0,1,0
JoyceMsuya,21141,15,63,0.962,1,"The Ozone Secretariat has launched an innovative educational platform, #ResetEarth, to help sustain the protection of the ozone layer through informing &amp; engaging young people.

Encouraging to see such creative efforts to spark positive action!
https://t.co/uNHOpmHRdc",1,1,1,1
OrstedUK,14921,5,10,0.938,1,"The Sixth Carbon Budget report sets out the UK's pathway to reach #NetZero. Great to see low-cost #offshorewind at heart of the CCC recommendations, as well as the need to ramp up innovative technologies like renewable hydrogen to assist a clean energy transition... https://t.co/ldP9hkjAby",1,1,1,1
OrstedUK,14921,4,12,0.938,1,"Thinking of joining the squad? You'll be in good company... In 2018/19, there were 742,400 people participating in an apprenticeship in England <U+0001F62E><U+0001F64C> Apprenticeships are a great way to gain hands-on experience and kick start a great new career #NAW2021 #apprenticeships #SquadGoals https://t.co/O4S2DulH99",0,,0,
Climeworks,8337,8,16,0.949,1,"This year 2'111 #pioneers joined us on our way to a #climatepositive world by removing CO2 from the air. We thank everyone for the amazing support. If you'd like to inspire more to join and take #ClimateAction, check out our #ChristmasGift subscriptions: https://t.co/pMmvUlOFf8 https://t.co/fbWIyXfRjC",1,1,1,1
Canadian_Solar,22445,5,13,0.958,1,"This year, more than ever, we give thanks for our customers, partners, and colleagues who #MaketheDifference. From all of us at Canadian Solar, we wish you a happy and healthy holiday season and a new year 2021 filled with promise and hope.

https://t.co/OSmANI24Gd https://t.co/vTxibBnM0O",0,,0,
JoyceMsuya,21141,126,279,0.94,1,"To all women and girls leading innovation in science, we celebrate you. 

And to those that dare to dream big, may #WomenInSTEM be a source of inspiration to create a better world. 
#WomenInScience https://t.co/CjaL2MKsHd",0,,0,
PEspinosaC,108140,22,111,0.943,1,"Today was the closing of the #ClimateDialogues. 
I wish to thank all of those who attended those inspiring dialogues in the last 10 days, and for making them a success. I also congratulate the SB Chairs for ensuring everyone has a voice and the #climatechange agenda continues. https://t.co/zXTqlzll1G",1,1,1,1
Seeo2E,25,2,3,0.954,1,"Very proud of Elena Sanchez for winning this award! Congrats! Some of her work included fundamental studies on @Seeo2E core technology  

Cheers to succesful international collaborations. @Prado_Gonjal @SocEspCeramVidr https://t.co/9MupJR3o0f",0,,1,1
Mirrecogroup,226,4,5,0.947,1,"Very proud to announce that weâ€™ve registered interest in the $100m Carbon Removal Prize Purse backed by @elonmusk aimed at tackling the greatest challenge the world has ever faced

https://t.co/ge77A2o5Cw

#renewables #sustainability #environment #technology #energy #future #hemp",1,1,,
PEspinosaC,108140,6,27,0.959,1,"Was a pleasure to join the #UNGA side event on #LandDegradation, #ClimateChange and #SDG, co-organized by @commonwealthsec &amp; @UNCCD. 
Congrats @PScotlandCSG @ibrahimthiaw for this great collaboration! This is key to build a clean, green, healthy and sustainable world for all. https://t.co/voZB6f0yio",1,1,1,1
CmccClimate,3977,0,0,0.952,1,"We're hiring  3<U+FE0F><U+20E3>  (yes, 3!!) talented, motivated and proactive #Ocean #Modellers to support the research and the ocean forecasting service improvement activities.
Deadline: March 07, 2021

https://t.co/ooBJCl7bWB https://t.co/UPdGokH9ED",0,,0,
AldersgateGrp,5486,0,1,0.935,1,"We outlined our thoughts on the #DasguptaReview and the importance of a #naturepositive economy here, calling for new measurements of economic success beyond GDP that prioritise natural capital and work hand in hand with efforts to reach net zero: https://t.co/i0JwDzOZm7 https://t.co/Nfggg1yYsN",1,1,1,1
CBI_CC,13310,3,7,0.96,1,"We welcome todayâ€™s launch of the Green Homes Grant, which will provide homeowners and landlords with the ability to invest in energy efficiency in their homes through vouchers worth up to Â£5,000. This will help households save up to Â£600 a year on their energy bills. https://t.co/K4SsAbT2S2",1,1,,
CarbonEngineer,6339,2,26,0.968,1,Weâ€™re excited to join the 40 companies launching the Business Coalition for a Clean Economy! We're going to need strong collaboration across industries and sectors if we hope to champion bold #climate action and tackle the climate and energy challenge. Count us in! https://t.co/n09CEcFycA,1,1,,
CarbonEngineer,6339,3,8,0.935,1,"Weâ€™re excited to share that CE has been chosen as a sustainability partner for @Virginâ€™s new rewards club, @VirginRed, and in a world first for a loyalty programme, members can spend their Virgin Points to support our #carbonremoval solution. Learn more: https://t.co/NsBNz4ZXeu",1,1,,
AldersgateGrp,5486,1,1,0.945,1,"Welcome to see commitment from @NatInfraCom to place #environmental net gain at heart of new natural capital principles, which will inform future #infrastructure schemes. Important that major developments make positive contributions to our environment https://t.co/r6FItdjhop",1,1,1,1
ClimateChangeUS,18191,0,1,0.944,1,"What might the world look like after we solve #climate change? Better lives in comfy homes, cleaner energy, and more efficient food production. Happy #EarthDay! https://t.co/0PMVTxAnBV",1,1,1,1
PEspinosaC,108140,62,192,0.935,1,"When humanity works together, there is no challenge we cannot overcome. Let 2021 be the year of hope. 

I wish you a peaceful season, good health and a happy new year. https://t.co/GN2HNZhRXA",0,,0,
WILDfoundation,10616,0,0,0.939,1,"When you support WILD you help people like Anna protect nature. This December, give a gift to our wild planet and the people who care for her.
<U+0001F449><U+0001F30E><U+0001F3D4><U+FE0F> https://t.co/fvDz5Ph4ZU https://t.co/LT2gNF80Ya",1,1,1,1
WILDfoundation,10616,0,2,0.936,1,"WILD works around the world to help program leaders create success stories for their communities. When you support WILD, you support life giving initiatives for people and nature. 
Donate<U+0001F449>https://t.co/fvDz5Ph4ZU https://t.co/jvgyFFNq2e",0,,1,1
FirstSolar,30923,1,7,0.949,1,"Wishes for a happy holiday season to all! Over the next few weeks, we will be sharing some of our most popular posts from 2020. Grab a cup of joe and enjoy the read! #Incaseyoumissedit https://t.co/QLP80wzqwy",0,,0,
CarbonEngineer,6339,3,22,0.961,1,"Wishing a wonderful and safe holiday season to our supporters, partners and all those who share our vision. We're looking ahead to a bright 2020! https://t.co/wlVSqgtBc4",0,,0,1
JoyceMsuya,21141,53,145,0.949,1,"Youth are critical in taking care of our planet <U+0001F30D>

And their push for a better shared future can inspire people of all ages to take action.

The #GEO6Youth report from @UNEP shares information to empower young people to spark positive change: https://t.co/Q3GW3fRlcl https://t.co/SsozuLhUjH",1,1,1,1
