"user_id","status_id","created_at","screen_name","text","source","display_text_width","reply_to_status_id","reply_to_user_id","reply_to_screen_name","is_quote","is_retweet","favorite_count","retweet_count","quote_count","reply_count","hashtags","symbols","urls_url","urls_t.co","urls_expanded_url","media_url","media_t.co","media_expanded_url","media_type","ext_media_url","ext_media_t.co","ext_media_expanded_url","ext_media_type","mentions_user_id","mentions_screen_name","lang","quoted_status_id","quoted_text","quoted_created_at","quoted_source","quoted_favorite_count","quoted_retweet_count","quoted_user_id","quoted_screen_name","quoted_name","quoted_followers_count","quoted_friends_count","quoted_statuses_count","quoted_location","quoted_description","quoted_verified","retweet_status_id","retweet_text","retweet_created_at","retweet_source","retweet_favorite_count","retweet_retweet_count","retweet_user_id","retweet_screen_name","retweet_name","retweet_followers_count","retweet_friends_count","retweet_statuses_count","retweet_location","retweet_description","retweet_verified","place_url","place_name","place_full_name","place_type","country","country_code","geo_coords","coords_coords","bbox_coords","status_url","name","location","description","url","protected","followers_count","friends_count","listed_count","statuses_count","favourites_count","account_created_at","verified","profile_url","profile_expanded_url","account_lang","profile_banner_url","profile_background_url","profile_image_url"
"x185043343","x1369218921803493381",2021-03-09 09:30:04,"c40cities","C40 Mayor @EckartWuerzner is taking a bold approach to reducing Heidelberg's carbon emissions and creating… https://t.co/iZu7qgrDHB","Hootsuite Inc.",,,,,FALSE,FALSE,11,6,,,,,"twitter.com/i/web/status/1…","https://t.co/iZu7qgrDHB","https://twitter.com/i/web/status/1369218921803493381",,,,,,,,,"x752941934","EckartWuerzner","en",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/NA/status/1369218921803493381","C40 Cities","Global","C40 connects 97 of the world’s leading cities taking bold climate action to build #TheFutureWeWant <U+0001F333><U+0001F6B4><U+200D><U+2640><U+FE0F>","https://t.co/xx4oJDzTY1",FALSE,106474,3209,2598,30908,5958,2010-08-31 02:46:58,TRUE,"https://t.co/xx4oJDzTY1","https://c40.org",,"https://pbs.twimg.com/profile_banners/185043343/1586460367","http://abs.twimg.com/images/themes/theme1/bg.png","http://pbs.twimg.com/profile_images/1369221932416176128/K930w4_s_normal.jpg"
"x36452048","x1369015064133578752",2021-03-08 20:00:01,"earthwatch_org","In honor of #InternationalWomensDay, we’re highlighting an amazing woman in science. Gana Wingard, lead scientist o… https://t.co/gRYUwW7d7h","TweetDeck",,,,,FALSE,FALSE,3,2,,,"InternationalWomensDay",,"twitter.com/i/web/status/1…","https://t.co/gRYUwW7d7h","https://twitter.com/i/web/status/1369015064133578752",,,,,,,,,,,"en",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/NA/status/1369015064133578752","Earthwatch","Worldwide","Empowering people to save the natural world.","https://t.co/kO5eFZSnUu",FALSE,14275,2960,554,11596,5873,2009-04-29 19:29:16,TRUE,"https://t.co/kO5eFZSnUu","https://earthwatch.org/earthwatch-at-home",,"https://pbs.twimg.com/profile_banners/36452048/1597763294","http://abs.twimg.com/images/themes/theme13/bg.gif","http://pbs.twimg.com/profile_images/1247174038423851009/gD9IQ87__normal.jpg"
"x15838767","x1368940999259611142",2021-03-08 15:05:42,"WILDfoundation","On #InternationalWomensDay we wanted to highlight some of our heroes that are using their skills and ingenuity to s… https://t.co/bIvVPR3CPd","Twitter Web App",,,,,FALSE,FALSE,2,0,,,"InternationalWomensDay",,"twitter.com/i/web/status/1…","https://t.co/bIvVPR3CPd","https://twitter.com/i/web/status/1368940999259611142",,,,,,,,,,,"en",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/NA/status/1368940999259611142","WILD Foundation","Boulder, CO","Since 1974, protecting through connecting: wilderness, wildlife & people. WILD works in a collaborative manner, across borders and in many different cultures.","http://t.co/sI6MlXhH4w",FALSE,10615,2683,448,7154,1535,2008-08-13 16:32:00,FALSE,"http://t.co/sI6MlXhH4w","http://www.wild.org",,"https://pbs.twimg.com/profile_banners/15838767/1602603491","http://abs.twimg.com/images/themes/theme3/bg.gif","http://pbs.twimg.com/profile_images/1316037761942470658/-N6cWhw9_normal.jpg"
"x92034115","x1369200574261043202",2021-03-09 08:17:10,"Green_Europe","<U+0001F44E>The role of civil society is watered down when we are invited to attend these negotiations but with no access to i… https://t.co/2bS9hEyRLZ","Twitter Web App",,"x1369200569777283076","x92034115","Green_Europe",FALSE,FALSE,8,1,,,,,"twitter.com/i/web/status/1…","https://t.co/2bS9hEyRLZ","https://twitter.com/i/web/status/1369200574261043202",,,,,,,,,,,"en",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/NA/status/1369200574261043202","EEB","Brussels, Belgium","We are the European Environmental Bureau, Europe's largest network of environmental NGOs. We work for a better future where people and nature thrive together.","https://t.co/wmcpgi26YY",FALSE,32633,2373,978,16056,8508,2009-11-23 14:50:15,FALSE,"https://t.co/wmcpgi26YY","http://www.eeb.org",,"https://pbs.twimg.com/profile_banners/92034115/1605017819","http://abs.twimg.com/images/themes/theme1/bg.png","http://pbs.twimg.com/profile_images/1188782799463075840/ONkyKUTe_normal.jpg"
"x54169961","x1369283841777672200",2021-03-09 13:48:02,"GreenAllianceUK","18 months after the publication of the @julian_glover -led Review of #NationalParks and #AONBs which highlighted th… https://t.co/nBrUQHkP4k","Twitter Web App",,,,,FALSE,TRUE,0,1,,,"NationalParks AONBs",,,,,,,,,,,,,"x2369357102 x44575879","KeasdenKate julian_glover","en",,,,,,,,,,,,,,,,"x1369279460487409673","18 months after the publication of the @julian_glover -led Review of #NationalParks and #AONBs which highlighted th… https://t.co/nBrUQHkP4k",2021-03-09 13:30:38,"Twitter Web App",0,1,,,,,,,,,,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/NA/status/1369283841777672200","Green Alliance","London, United Kingdom","Green Alliance is a think tank working to ensure UK political leaders deliver ambitious solutions to global environmental issues. Listen to our podcast <U+0001F447>","https://t.co/RHlMlNASw7",FALSE,35653,1855,932,27406,1103,2009-07-06 10:15:35,TRUE,"https://t.co/RHlMlNASw7","https://greenalliancepodcast.simplecast.com/",,"https://pbs.twimg.com/profile_banners/54169961/1559223467","http://abs.twimg.com/images/themes/theme2/bg.gif","http://pbs.twimg.com/profile_images/611179895893438464/B7cb9GEj_normal.jpg"
"x1002586533357072386","x1369051628804915209",2021-03-08 22:25:18,"ScarlettOWest","@ilyas_nagdee are you even muslim if your family doesn’t think they killed diana for dating a muslim <U+0001F62D><U+0001F494>","Twitter for iPhone",,"x1369051324046839819","x4765348675","ilyas_nagdee",FALSE,FALSE,2,0,,,,,,,,,,,,,,,,"x4765348675","ilyas_nagdee","en",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/NA/status/1369051628804915209","Scarlett Westbrook <U+0001F30E>","West Midlands | She / Her","16 | Climate Activist | ‘World-class scientific expert,(and teenager)’- The Spectator | Youngest person in the world to have an A level in Government & Politics","https://t.co/0owe2TsKCb",FALSE,5074,2886,23,14486,30498,2018-06-01 16:23:51,FALSE,"https://t.co/0owe2TsKCb","https://muckrack.com/scarlett-o-westbrook",,"https://pbs.twimg.com/profile_banners/1002586533357072386/1599180422",,"http://pbs.twimg.com/profile_images/1288513805798998017/WkbNHYxv_normal.jpg"
"x17463923","x1368981566672797697",2021-03-08 17:46:54,"UNFCCC","On International Women's Day, see how rural woman in Africa are being trained to become champions of sustainable ag… https://t.co/NdtpptOo9y","Twitter Web App",,,,,FALSE,TRUE,0,34,,,,,,,,,,,,,,,,"x517661405","Momentum_UNFCCC","en",,,,,,,,,,,,,,,,"x1368981154313994247","On International Women's Day, see how rural woman in Africa are being trained to become champions of sustainable ag… https://t.co/NdtpptOo9y",2021-03-08 17:45:16,"Hootsuite Inc.",61,34,,,,,,,,,,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/NA/status/1368981566672797697","UN Climate Change","Bonn, Germany","Official twitter account of UN Climate Change. Also in Spanish @CMNUCC, French @CCNUCC, Russian @RKIKOON and German @UNKlima. Our head: @PEspinosaC","https://t.co/8o66PbAPXZ",FALSE,786740,1050,9395,27358,6768,2008-11-18 13:39:11,TRUE,"https://t.co/8o66PbAPXZ","http://unfccc.int",,"https://pbs.twimg.com/profile_banners/17463923/1607953395","http://abs.twimg.com/images/themes/theme1/bg.png","http://pbs.twimg.com/profile_images/558658454030540802/CGw9qhaD_normal.jpeg"
"x75742264","x1369268732564967425",2021-03-09 12:48:00,"tveitdal","Joe Manchin says he will derail Biden climate package if Republicans are not included in negotiations… https://t.co/DvM2hDAepb","TweetDeck",,,,,FALSE,FALSE,7,3,,,,,"twitter.com/i/web/status/1…","https://t.co/DvM2hDAepb","https://twitter.com/i/web/status/1369268732564967425",,,,,,,,,,,"en",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/NA/status/1369268732564967425","Svein T veitdal","Arendal, Norway","Tweeting Climate Change, Renewable Energy and nature news. Director Klima 2020, former UN Director. For contact use svein@klima2020.no","https://t.co/O2zr8j3vqO",FALSE,308404,112021,4142,55915,1151,2009-09-20 07:31:02,FALSE,"https://t.co/O2zr8j3vqO","http://www.klima2020.no",,,"http://abs.twimg.com/images/themes/theme1/bg.png","http://pbs.twimg.com/profile_images/378800000413900056/d331f29eb299f905fb9936e8d07a1cec_normal.jpeg"
"x48702842","x1369262955775287297",2021-03-09 12:25:02,"ErikSolheim","India <U+0001F1EE><U+0001F1F3> followed by China <U+0001F1E8><U+0001F1F3> best covid19 recovery.
OECD economic outlook 2021:

<U+0001F30E>5.6%
<U+0001F1E6><U+0001F1FA>4.5%
<U+0001F1E8><U+0001F1E6>4.7%
<U+0001F1EA><U+0001F1FA>3.9%
<U+0001F1E9><U+0001F1EA>3.0%… https://t.co/x8xzzxn0Ef","Hootsuite Inc.",,,,,FALSE,FALSE,115,36,,,,,"twitter.com/i/web/status/1…","https://t.co/x8xzzxn0Ef","https://twitter.com/i/web/status/1369262955775287297",,,,,,,,,,,"en",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"https://api.twitter.com/1.1/geo/id/e42ed02b50d62e29.json","Oslo","Oslo, Norway","city","Norway","NO","59.92664814 10.74457113","10.74457113 59.92664814","10.4914682 10.9515836 10.9515836 10.4914682 59.8097794 59.8097794 60.1350316 60.1350316","https://twitter.com/NA/status/1369262955775287297","Erik Solheim","Oslo, Norway","GREEN OPTIMISM! Lets share inspiring stories! I work with World Resource Institute, Green Belt & Road, Plastic REVolution, Treelion, April/RGE, NorwegianGreens.",,FALSE,145791,10947,1346,19443,45268,2009-06-19 13:19:56,TRUE,,,,"https://pbs.twimg.com/profile_banners/48702842/1570382856","http://abs.twimg.com/images/themes/theme3/bg.gif","http://pbs.twimg.com/profile_images/951336776551030784/o-MTllBS_normal.jpg"
"x1004681701644091392","x1369191066633650180",2021-03-09 07:39:23,"JoyceMsuya","Congratulations to Colombia<U+0001F1E8><U+0001F1F4>which has become the 114th Party to the Kigali Amendment to the Montreal Protocol. As… https://t.co/ZGelMxdld7","Twitter for iPhone",,,,,FALSE,TRUE,0,46,,,,,,,,,,,,,,,,"x2409488466","andersen_inger","en",,,,,,,,,,,,,,,,"x1369189554465501184","Congratulations to Colombia<U+0001F1E8><U+0001F1F4>which has become the 114th Party to the Kigali Amendment to the Montreal Protocol. As… https://t.co/ZGelMxdld7",2021-03-09 07:33:22,"Twitter Web App",167,46,,,,,,,,,,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/NA/status/1369191066633650180","Joyce Msuya","Nairobi, Kenya","Deputy Executive Director of @UNEP
@UN Assistant Secretary-General
Join the conversation for people and planet.","https://t.co/YeeAdllrws",FALSE,21141,963,155,2404,1887,2018-06-07 11:09:18,TRUE,"https://t.co/YeeAdllrws","http://www.unep.org",,"https://pbs.twimg.com/profile_banners/1004681701644091392/1575387190",,"http://pbs.twimg.com/profile_images/1102892459598770176/zPsrT9q-_normal.png"
"x1372641625","x1369281207691866117",2021-03-09 13:37:34,"RichardMunang","Well done @richardmunang, you are ranked #7 on this week's #SDGchampions! Thank you for supporting the #GlobalGoals… https://t.co/obAQCEGMVT","Twitter for Android",,,,,FALSE,TRUE,0,1,,,"SDGchampions GlobalGoals",,,,,,,,,,,,,"x1497787496 x1372641625","AdamRogers2030 RichardMunang","en",,,,,,,,,,,,,,,,"x1369278923754856453","Well done @richardmunang, you are ranked #7 on this week's #SDGchampions! Thank you for supporting the #GlobalGoals… https://t.co/obAQCEGMVT",2021-03-09 13:28:30,"rise.global",1,1,,,,,,,,,,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/NA/status/1369281207691866117","Dr. Richard Munang","","#ClimateAction| #AdamantOptimist| Public Policy| Global Speaker| Winner @UNEP's Prog Innovation 2016| Author #Innovativevolunteerism| OPINIONS & VIEWS are MINE|","https://t.co/XA9xrK53T2",FALSE,32202,34541,458,183004,91233,2013-04-22 17:18:23,FALSE,"https://t.co/XA9xrK53T2","https://www.richardmunang.com",,"https://pbs.twimg.com/profile_banners/1372641625/1610791712","http://abs.twimg.com/images/themes/theme16/bg.gif","http://pbs.twimg.com/profile_images/1322187052465741830/ZFEjsg4t_normal.jpg"
"x24348876","x1369247853395206148",2021-03-09 11:25:02,"ClimateAdapt","Climate Change Triggers Abrupt Deviations in Mountain Ecosystems https://t.co/fsdlQIiyxS","Crowdfire App",,,,,FALSE,FALSE,2,0,,,,,"azocleantech.com/news.aspx?news…","https://t.co/fsdlQIiyxS","https://www.azocleantech.com/news.aspx?newsID=28933",,,,,,,,,,,"en",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/NA/status/1369247853395206148","Climate Adaptation","","Climate adaptation, urbanization, resilience, and transformation for a sustainable future. 
Curated by a climate scientist turned development practitioner","https://t.co/ZDOlYmDQIV",FALSE,10662,8878,163,8669,4290,2009-03-14 08:50:05,FALSE,"https://t.co/ZDOlYmDQIV","https://m.facebook.com/UrbanClimateResilience/",,"https://pbs.twimg.com/profile_banners/24348876/1392748542","http://abs.twimg.com/images/themes/theme1/bg.png","http://pbs.twimg.com/profile_images/435844312673185792/Pglhji9y_normal.png"
